original_name,program_class,program_genre,content_id,duration_median
certain women,MOVIE,Drama,294,42.0
changing lanes,MOVIE,Drama,295,23.0
chaos theory,MOVIE,Comedy,296,18.0
chariots of fire,MOVIE,Biography,297,23.5
charlie and the chocolate factory,MOVIE,Comedy,298,64.0
charlie's angels,MOVIE,Action,299,152.0
charlie's angels:full throttle,MOVIE,Action,300,63.0
cheaper by the dozen,MOVIE,Comedy,301,113.0
chello (T),SERIES/EPISODES,Drama,302,103.0
chernobyl diaries,MOVIE,Horror,303,135.5
cherry crush,MOVIE,Drama,304,51.0
chicken little,MOVIE,Animation,305,110.5
chicken run,MOVIE,Animation,306,72.0
chips,MOVIE,Action,307,82.0
chronicle,MOVIE,Drama,308,115.0
chuggington (T),SERIES/EPISODES,Animation,309,1425.5
churchill,MOVIE,Biography,310,65.0
cinderella,MOVIE,"Animation, Drama",311,64.0
city of angels,MOVIE,Drama,312,33.0
clear and present danger,MOVIE,Action,313,62.0
click,MOVIE,Comedy,314,118.0
close encounters of the third kind,MOVIE,Drama,315,40.0
closer,MOVIE,Drama,316,86.0
cloud atlas,MOVIE,Sci-Fi,317,63.0
cloudy with a chance of meatballs,MOVIE,Animation,318,469.0
cloverfield,MOVIE,Horror,319,89.0
clown,MOVIE,Horror,320,81.0
coach carter,MOVIE,Drama,321,46.0
coco,MOVIE,Animation,322,81.0
code red,MOVIE,Horror,323,46.0
coffin rock,MOVIE,Thriller,324,64.0
coherence,MOVIE,Thriller,325,94.0
cold play,MOVIE,Thriller,326,59.0
collateral,MOVIE,Drama,327,56.0
collateral beauty,MOVIE,Drama,328,88.0
collide,MOVIE,Action,329,100.0
community (T),SERIES/EPISODES,Comedy,330,140.0
con air,MOVIE,Action,331,59.0
conan   (T),SERIES/EPISODES,Animation,332,5782.0
concussion,MOVIE,Biography,333,47.0
conquest of the planet of the apes,MOVIE,Action,334,12.0
conspiracy theory,MOVIE,Action,335,30.0
constantine,MOVIE,Horror,336,64.0
contagion,MOVIE,Drama,337,52.0
contraband,MOVIE,Action,338,48.0
cop out,MOVIE,Action,339,56.0
cowboys & aliens,MOVIE,Action,340,37.0
cradle to the grave,MOVIE,Action,341,50.5
crazy  tupid  love,MOVIE,Comedy,342,44.0
crazy heart,MOVIE,Drama,343,33.0
crazy kind of love,MOVIE,Comedy,344,66.0
criminal minds (T),SERIES/EPISODES,Crime,345,901.0
crimson tide,MOVIE,Drama,346,20.0
crossing over,MOVIE,Drama,347,120.0
cruel intentions,MOVIE,Drama,348,281.0
curious by nature (T),SERIES/EPISODES,Animation,349,263.0
daddy day camp,MOVIE,Comedy,350,2217.0
daddy day care,MOVIE,Comedy,351,91.0
daddy's home,MOVIE,Comedy,352,85.0
dalaa banat (T),SERIES/EPISODES,Comedy,353,215.0
damages (T),SERIES/EPISODES,"Thriller, Crime",354,130.0
dance again,MOVIE,Documentary,355,32.0
dancing ninja,MOVIE,Action,356,9.0
dangerous intentions,MOVIE,Drama,357,35.0
dangerous minds,MOVIE,Drama,358,58.5
date movie,MOVIE,Comedy,359,63.0
date night,MOVIE,Comedy,360,79.0
dawn of the planet of the apes,MOVIE,Action,361,95.0
days of thunder,MOVIE,Action,362,22.0
dc uper hero girls: intergalactic games,MOVIE,Animation,363,82.0
dcu justice league: war,MOVIE,Animation,364,131.0
dcu: on of batman,MOVIE,Animation,365,48.5
deep impact,MOVIE,Action,366,83.5
default,MOVIE,Thriller,367,67.0
deja vu,MOVIE,Action,368,64.0
delgo,MOVIE,Animation,369,27.0
delivery man,MOVIE,Comedy,370,310.0
desert dancer,MOVIE,Drama,371,97.0
desperado,MOVIE,Action,372,62.5
despicable me,MOVIE,Animation,373,93.0
despite the falling now,MOVIE,Drama,374,72.0
detachment,MOVIE,Drama,375,90.0
deuces wild,MOVIE,Action,376,44.0
devil may call,MOVIE,Horror,377,120.5
devil's due,MOVIE,Horror,378,60.0
devious maids (T),SERIES/EPISODES,Drama,379,155.0
dexter (T),SERIES/EPISODES,Thriller,380,605.5
diary of a wimpy kid,MOVIE,Comedy,381,111.0
diary of a wimpy kid: dog days,MOVIE,Comedy,382,104.0
diary of a wimpy kid: rodrick rules,MOVIE,Comedy,383,101.0
diary of a wimpy kid: the long haul,MOVIE,Family,384,84.0
die hard,MOVIE,Action,385,25.0
die hard: with a vengeance,MOVIE,Action,386,73.0
digswell (T),SERIES/EPISODES,Animation,387,1834.0
dinner for chmucks,MOVIE,Comedy,388,111.0
dinofroz (T),SERIES/EPISODES,Animation,389,106.5
dinosaur,MOVIE,Animation,390,97.0
dinosaur island,MOVIE,Action,391,88.0
dirty dancing,MOVIE,Drama,392,63.0
dirty weekend,MOVIE,Comedy,393,62.0
disgrace,MOVIE,Drama,394,36.0
disturbia,MOVIE,Thriller,395,56.0
django unchained,MOVIE,Action,396,100.5
doctor amrad nesa (T),SERIES/EPISODES,Drama,397,1070.0
doctor dolittle,MOVIE,Comedy,398,60.0
doctor trange,MOVIE,Action,399,92.0
doctorah fi al hob (T),SERIES/EPISODES,Drama,400,500.0
dolphin tale,MOVIE,"Drama, Family",401,88.0
dom hemingway,MOVIE,Comedy,402,31.0
donnie brasco,MOVIE,Drama,403,85.0
doodlez (T),SERIES/EPISODES,Animation,404,416.0
dora and friends: into the city (T),SERIES/EPISODES,Animation,405,4492.0
dora the explorer (T),SERIES/EPISODES,Animation,406,4587.5
double jeopardy,MOVIE,Thriller,407,52.0
doug tanhope: no place like home,MOVIE,Comedy,408,32.0
dough boys,MOVIE,Drama,409,20.0
dragon ball z: resurrection f,MOVIE,Animation,410,93.0
dragonheart : the orcerer's curse,MOVIE,Action,411,39.0
dreamcatcher,MOVIE,Drama,412,46.0
dreamgirls,MOVIE,Drama,413,26.5
dreamland,MOVIE,Drama,414,15.0
drive angry,MOVIE,Thriller,415,147.0
driver dan’s tory train (T),SERIES/EPISODES,Animation,416,2399.0
due date,MOVIE,Comedy,417,113.0
dumb and dumber,MOVIE,Comedy,418,69.0
dumb and dumberer: when harry met lloyd,MOVIE,Comedy,419,73.0
dumbo,MOVIE,Animation,420,34.5
dunkirk,MOVIE,Action,421,82.0
e-dounia maqlouba,MOVIE,Comedy,422,86.0
eagle eye,MOVIE,Action,423,67.0
easy a,MOVIE,Comedy,424,101.0
eat pray love,MOVIE,Drama,425,43.5
echoes,MOVIE,Horror,426,98.0
ehna al talaba (T),SERIES/EPISODES,Drama,427,51.0
eight below,MOVIE,Action,428,26.0
elaam mosleh (T),SERIES/EPISODES,Family,429,791.0
elektra,MOVIE,Action,430,47.0
elephant white,MOVIE,Action,431,114.0
elvis & nixon,MOVIE,Comedy,432,43.0
emoji movie,MOVIE,Animation,433,91.0
empire (T),SERIES/EPISODES,Drama,434,173.0
empire tate,MOVIE,Action,435,413.0
enchanted,MOVIE,Comedy,436,145.0
enemy of the tate,MOVIE,Action,437,39.0
entrapment,MOVIE,Action,438,47.0
epic,MOVIE,Animation,439,100.0
